region,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,country,date,countryName
Buenos Aires,-0.9,-0.48,-0.91,-0.82,-0.69,0.31,AR,2020-03-29,Argentina
Buenos Aires Province,-0.88,-0.6,-0.91,-0.79,-0.6,0.26,AR,2020-03-29,Argentina
Catamarca Province,-0.71,-0.46,-0.78,-0.81,-0.35,0.29,AR,2020-03-29,Argentina
Chaco Province,-0.79,-0.63,-0.83,-0.92,-0.48,0.24,AR,2020-03-29,Argentina
Chubut Province,-0.92,-0.91,-0.94,-0.93,-0.62,0.28,AR,2020-03-29,Argentina
Cordoba,-0.88,-0.66,-0.9,-0.91,-0.57,0.3,AR,2020-03-29,Argentina
Corrientes,-0.8,-0.63,-0.88,-0.89,-0.47,0.25,AR,2020-03-29,Argentina
Entre Rios,-0.87,-0.65,-0.93,-0.9,-0.54,0.29,AR,2020-03-29,Argentina
Formosa Province,-0.76,-0.53,-0.82,-0.71,-0.37,0.21,AR,2020-03-29,Argentina
Jujuy,-0.8,-0.55,-0.83,-0.92,-0.44,0.27,AR,2020-03-29,Argentina
La Pampa,-0.88,-0.72,-0.88,-0.87,-0.56,0.28,AR,2020-03-29,Argentina
La Rioja Province,-0.7,-0.46,-0.84,-0.86,-0.4,0.26,AR,2020-03-29,Argentina
Mendoza Province,-0.81,-0.56,-0.84,-0.72,-0.49,0.29,AR,2020-03-29,Argentina
Misiones Province,-0.83,-0.66,-0.85,-0.92,-0.51,0.27,AR,2020-03-29,Argentina
Neuquen,-0.96,-0.95,-0.95,-0.92,-0.72,0.33,AR,2020-03-29,Argentina
Río Negro,-0.9,-0.72,-0.92,-0.96,-0.55,0.29,AR,2020-03-29,Argentina
Salta Province,-0.82,-0.55,-0.84,-0.76,-0.47,0.26,AR,2020-03-29,Argentina
San Juan Province,-0.76,-0.5,-0.8,-0.87,-0.46,0.28,AR,2020-03-29,Argentina
San Luis Province,-0.85,-0.6,-0.89,-0.91,-0.56,0.29,AR,2020-03-29,Argentina
Santa Cruz Province,-0.83,-0.62,-0.88,-0.91,-0.56,0.24,AR,2020-03-29,Argentina
Santa Fe Province,-0.87,-0.63,-0.89,-0.77,-0.57,0.29,AR,2020-03-29,Argentina
Santiago del Estero Province,-0.75,-0.49,-0.75,-0.9,-0.46,0.25,AR,2020-03-29,Argentina
Tierra del Fuego Province,-0.87,-0.63,-0.89,-0.92,-0.59,0.24,AR,2020-03-29,Argentina
Tucumán,-0.81,-0.53,-0.78,-0.9,-0.51,0.28,AR,2020-03-29,Argentina
Australian Capital Territory,-0.4,-0.03,0.38,-0.52,-0.31,0.11,AU,2020-03-29,Australia
New South Wales,-0.44,-0.13,-0.27,-0.57,-0.35,0.14,AU,2020-03-29,Australia
Northern Territory,-0.35,-0.13,-0.2,-0.55,-0.23,0.12,AU,2020-03-29,Australia
Queensland,-0.4,-0.19,-0.33,-0.57,-0.3,0.12,AU,2020-03-29,Australia
South Australia,-0.43,-0.15,-0.33,-0.55,-0.28,0.12,AU,2020-03-29,Australia
Tasmania,-0.5,-0.3,-0.7,-0.62,-0.28,0.13,AU,2020-03-29,Australia
Victoria,-0.51,-0.26,-0.55,-0.68,-0.37,0.16,AU,2020-03-29,Australia
Western Australia,-0.4,-0.16,-0.37,-0.55,-0.26,0.13,AU,2020-03-29,Australia
Burgenland,-0.83,-0.36,0.19,-0.43,-0.49,0.16,AT,2020-03-29,Austria
Carinthia,-0.85,-0.62,-0.45,-0.59,-0.48,0.13,AT,2020-03-29,Austria
Lower Austria,-0.82,-0.36,0.08,-0.74,-0.45,0.13,AT,2020-03-29,Austria
Salzburg,-0.93,-0.86,-0.73,-0.81,-0.59,0.15,AT,2020-03-29,Austria
Styria,-0.86,-0.61,-0.42,-0.71,-0.47,0.13,AT,2020-03-29,Austria
Tyrol,-0.95,-0.86,-0.82,-0.85,-0.65,0.16,AT,2020-03-29,Austria
Upper Austria,-0.86,-0.44,-0.19,-0.67,-0.47,0.13,AT,2020-03-29,Austria
Vienna,-0.85,-0.52,-0.44,-0.71,-0.52,0.15,AT,2020-03-29,Austria
Vorarlberg,-0.9,-0.7,-0.68,-0.79,-0.54,0.14,AT,2020-03-29,Austria
Brussels,-0.89,-0.65,-0.64,-0.82,-0.62,0.19,BE,2020-03-29,Belgium
Flanders,-0.82,-0.46,-0.65,-0.74,-0.5,0.17,BE,2020-03-29,Belgium
Wallonia,-0.84,-0.62,-0.72,-0.77,-0.52,0.16,BE,2020-03-29,Belgium
Federal District,-0.68,-0.28,-0.63,-0.56,-0.36,0.2,BR,2020-03-29,Brazil
State of Acre,-0.68,-0.2,-0.56,-0.75,-0.22,0.11,BR,2020-03-29,Brazil
State of Alagoas,-0.77,-0.43,-0.79,-0.76,-0.35,0.17,BR,2020-03-29,Brazil
State of Amapá,-0.71,-0.27,-0.51,-0.73,-0.28,0.11,BR,2020-03-29,Brazil
State of Amazonas,-0.64,-0.28,-0.62,-0.46,-0.26,0.13,BR,2020-03-29,Brazil
State of Bahia,-0.73,-0.42,-0.71,-0.73,-0.33,0.17,BR,2020-03-29,Brazil
State of Ceará,-0.76,-0.34,-0.71,-0.68,-0.33,0.16,BR,2020-03-29,Brazil
State of Espírito Santo,-0.68,-0.35,-0.69,-0.69,-0.31,0.16,BR,2020-03-29,Brazil
State of Goiás,-0.67,-0.27,-0.44,-0.5,-0.28,0.15,BR,2020-03-29,Brazil
State of Maranhão,-0.63,-0.27,-0.48,-0.66,-0.2,0.11,BR,2020-03-29,Brazil
State of Mato Grosso,-0.63,-0.3,-0.44,-0.59,-0.22,0.11,BR,2020-03-29,Brazil
State of Mato Grosso do Sul,-0.68,-0.33,-0.56,-0.68,-0.26,0.14,BR,2020-03-29,Brazil
